Professor Name,Professor Profile
Noel Perkins,"Professor Emeritus, Mechanical Engineering
Arthur F. Thurnau Professor Emeritus, Mechanical Engineering
Donald T. Greenwood Collegiate Professor Emeritus of Mechanical Engineering"
Marc Perlin,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Naval Architecture & Marine Engineering
Professor Emeritus, Civil and Environmental Engineering"
Kevin Pipe,"Professor, Mechanical Engineering
Professor, Applied Physics Program
Professor, Electrical Engineering and Computer Science Department
Associate Dean for Undergraduate Education, College of Engineering"
Bogdan Popa,"Associate Professor, Mechanical Engineering"
Venkat Raman,"Professor, Mechanical Engineering
Professor, Aerospace Engineering"
Pramod Sangi Reddy,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering"
Elliott Rouse,"Associate Professor, Mechanical Engineering"
Kazu Saitou,"Professor, Mechanical Engineering
Associate Chair for Graduate Education, Mechanical Engineering"
Anchal Sareen,"Assistant Professor, Mechanical Engineering
Assistant Professor, Naval Architecture & Marine Engineering"
Ulrich Scheven,"Associate Research Scientist, Mechanical Engineering"
Bill Schultz,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Naval Architecture and Marine Engineering"
Randy Schwemmin,"LEO Intermittent Lecturer, Mechanical Engineering"
Chenhui Shao,"Associate Professor, Mechanical Engineering"
Chengzhi Shi,"Associate Professor, Mechanical Engineering"
Albert Shih,"Professor, Mechanical Engineering
Professor, Biomedical Engineering
Faculty Member, Institute of Gerontology"
Alex Shorter,"Associate Professor, Mechanical Engineering"
Volker Sick,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
DTE Energy Professor of Advanced Energy Research
Director, Global CO2 Initiative"
Jason Siegel,"Associate Research Scientist, Mechanical Engineering"
Kathleen Sienko,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering"
Steve Skerlos,"Professor, Mechanical Engineering
Professor, Civil and Environmental Engineering
Arthur F. Thurnau Professor, Mechanical Engineering"
Siddhartha Srivastava,"Assistant Research Scientist, Mechanical Engineering"
Anna Stefanopoulou,"Professor, Mechanical Engineering
William Clay Ford Professor of Technology"
Jeffrey Stein,"Professor Emeritus, Mechanical Engineering"
Jing Sun,"Professor, Mechanical Engineering
Michael G. Parsons Collegiate Professor of Naval Architecture and Marine Engineering
Chair, Naval Architecture and Marine Engineering"
Sita Syal,"Assistant Professor, Mechanical Engineering"
Wenda Tan,"Assistant Professor, Mechanical Engineering"
Jing Tang,"Assistant Professor, Mechanical Engineering"
Alan Taub,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering"
Michael Thouless,"Professor, Mechanical Engineering
Professor, Materials Science and Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Janine Johnson Weins Professor"
Dawn Tilbury,"Professor, Mechanical Engineering
Professor, Robotics
Professor, Electrical Engineering & Computer Science
Herrick Professor of Engineering"
Serife Tol,"Assistant Professor, Mechanical Engineering"
Aaron Towne,"Assistant Professor, Mechanical Engineering"
Nicolas Triantafyllidis,"Professor Emeritus, Mechanical Engineering
Professor Emeritus, Aerospace Engineering"
Galip Ulsoy,"Professor Emeritus, Mechanical Engineering
C.D. Mote Jr. Distinguished University Professor Emeritus, Mechanical Engineering
William Clay Ford Professor Emeritus of Manufacturing
Deputy Director, NSF Engineering Research Center for Reconfigurable Machining Systems"
Michael Umbriac,"LEO Lecturer IV, Mechanical Engineering"
Ramanarayan Vasudevan,"Associate Professor, Mechanical Engineering
Associate Professor, Robotics"
Christopher Vermillion,"Associate Professor, Mechanical Engineering"
Hugo Gonzalez Villasanti,"Assistant Professor, Mechanical Engineering"
Angela Violi,"Professor, Mechanical Engineering
Professor, Chemical Engineering
Professor, Biomedical Engineering
Professor, Macromolecular Science and Engineering
Professor, Applied Physics
Professor, Biophysics
Associate Chair for Research
Arthur F. Thurnau Professor, Mechanical Engineering"
Venkat Viswanathan,"Associate Professor, Mechanical Engineering
Associate Professor, Aerospace Engineering"
Anthony Waas,"Professor, Mechanical Engineering
Felix Pawlowski Collegiate Professor, Aerospace Engineering"
Kon-Well Wang,"Professor, Mechanical Engineering
A. Galip Ulsoy Distinguished University Professor of Engineering
Stephen P. Timoshenko Collegiate Professor of Mechanical Engineering"
Thomas Wang,"Professor, Mechanical Engineering
Professor, Internal Medicine
Professor, Biomedical Engineering"
Alan Wineman,"Professor Emeritus, Mechanical Engineering
Arthur F. Thurnau Professor Emeritus
Professor Emeritus, Macromolecular Science and Engineering"
Margaret Wooldridge,"Professor, Mechanical Engineering
Arthur F. Thurnau Professor, Mechanical Engineering
Walter J. Weber, Jr. Professor of Sustainable Energy, Environmental and Earth Systems Engineering"
Hongyi Xiao,"Assistant Professor, Mechanical Engineering"
Wei-Hsuin Yang,"Professor Emeritus, Mechanical Engineering"
Euisik Yoon,"Professor, Mechanical Engineering
Professor, Electrical Engineering & Computer Science
Professor, Biomedical Engineering
Director, NSF International Program for Advancement of Neurotechnology (IPAN)"
John Young,"Associate Professor Emeritus, Mechanical Engineering"
Lei Zuo,"Professor, Mechanical Engineering
Professor, Naval Architecture and Marine Engineering"
