Professor Name,Professor Profile
Craig Goergen,Leslie A. Geddes Professor Of Biomedical Engineering; Professor of Mechanical Engineering (by courtesy)
Ahmed Hassanein,Paul L. Wattelet Distinguished Professor of Nuclear Engineering; Professor of Mechanical Engineering (by Courtesy)
W. Travis Horton,Associate Professor of Civil Engineering; Associate Professor of Mechanical Engineering (by Courtesy)
Joseph Jewell,Associate Professor Of Aeronautics And Astronautics (courtesy in Mechanical Engineering)
Alan Jones,"Associate Professor of Mechanical Engineering, Purdue University IndianapolisAssociate Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Karen Marais,"Associate Professor of Aeronautics and Astronautics, and Associate Head for Undergraduate Education; Associate Professor of Mechanical Engineering (by Courtesy)"
Razi Nalim,"Professor of Mechanical Engineering, Purdue University IndianapolisProfessor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Mohammed Noor-A-Alam,"Assistant Professor of Mechanical Engineering, Purdue University IndianapolisAssistant Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Nesrin Ozalp,"Professor of Mechanical Engineering; Department Chair of Mechanical and Civil Engineering, Purdue Northwest"
Timothee Pourpoint,Professor of Aeronautics and Astronautics; Professor of Mechanical Engineering (by Courtesy)
Li Qiao,Professor of Aeronautics and Astronautics; Professor of Mechanical Engineering (by Courtesy)
Mo Rastgaar,Associate Professor Of Engineering Technology (courtesy in Mechanical Engineering)
Vitaliy Rayz,Assistant Professor of Biomedical Engineering; Assistant Professor of Mechanical Engineering (by Courtesy)
Shirley Rietdyk,Professor of Health and Kinesiology; Professor of Mechanical Engineering (by Courtesy)
Hosop Shin,"Assistant Professor of Mechanical Engineering, Purdue University IndianapolisAssistant Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Carson Slabaugh,Assistant Professor of Aeronautics and Astronautics; Assistant Professor of Mechanical Engineering (by Courtesy)
Hong Tan,Professor of Electrical and Computer Engineering; Professor of Mechanical Engineering (by Courtesy)
Andres Tovar,"Associate Professor of Mechanical Engineering, Purdue University IndianapolisAssociate Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Athanasios (Thanos) Tzempelikos,Professor of Civil Engineering; Professor of Mechanical Engineering (by Courtesy)
Diane Wagner,"Associate Professor of Mechanical Engineering, Purdue University IndianapolisAssociate Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Xiaoliang Wei,"Assistant Professor of Mechanical Engineering, Purdue University IndianapolisAssistant Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Jian Xie,"Professor of Mechanical Engineering, Purdue University IndianapolisProfessor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Shengfeng Yang,"Assistant Professor of Mechanical Engineering, Purdue University IndianapolisAssistant Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Huidan (Whitney) Yu,"Professor of Mechanical Engineering, Purdue University IndianapolisProfessor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Jing Zhang,"Associate Professor of Mechanical Engineering, Purdue University IndianapolisAssociate Professor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Chenn Zhou,"Professor of Mechanical Engineering (by courtesy), Purdue University Northwest"
Likun Zhu,"Professor of Mechanical Engineering, Purdue University IndianapolisProfessor of Mechanical Engineering (by courtesy), School of Mechanical Engineering, Purdue University West Lafayette"
Ibrahim Gunduz,"Associate Professor, Naval Postgraduate School"
